# nodes threads rpn ndiag ntg electrons
  8  t1  64   121   16   415.46
 16  t1  64   256   16   255.76
 32  t1  64   484   16   182.11
 64  t1  64  1024   16   156.98
# OpenMP
  8  t8   8    16   16   376.45
 16  t4  16    64    8   225.84
 32  t4  16   121   16   145.64
 64  t8   8   121   16   107.96
128  t8   8   256   16    90.34
