# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   484   1ntg   264.84   228.38   119.93    57.22
knl   2   256   1ntg   210.99   179.62    91.04    43.22
knl   4   121   1ntg   229.52   184.59   103.37    39.99
knl   8    64   1ntg   244.15   195.13   115.01    38.22
knl   16   25   1ntg   324.09   253.98   157.63    58.66
knl   32   16   1ntg   481.43   369.75   250.12    78.63
# ntg-2
knl   1   484   2ntg   210.35   181.37    72.34    53.92
knl   2   256   2ntg   181.53   158.75    68.04    43.26
knl   4   121   2ntg   180.71   153.59    69.26    40.12
knl   8    64   2ntg   197.85   161.24    81.53    38.82
knl   16   25   2ntg   275.29   221.96   117.71    60.89
knl   32   16   2ntg   398.96   308.90   187.11    81.32
# ntg-4
knl   1   484   4ntg   197.65   172.42    62.06    56.23
knl   2   256   4ntg   168.29   146.27    54.14    43.27
knl   4   121   4ntg   171.23   141.26    58.68    37.53
knl   8    64   4ntg   193.31   155.49    73.46    38.43
knl   16   25   4ntg   262.57   208.10   107.57    57.89
knl   32   16   4ntg   376.33   286.52   166.19    79.24
# ntg-8
knl   1   484   8ntg   192.53   167.00    56.69    54.61
knl   2   256   8ntg   166.79   145.42    51.67    43.09
knl   4   121   8ntg   168.33   140.63    54.75    40.29
knl   8    64   8ntg   184.62   149.34    69.12    36.74
knl   16   25   8ntg   250.59   198.59    96.66    57.94
knl   32   16   8ntg   347.70   266.46   146.07    78.21
# ntg-16
knl   1   484   16ntg   188.29   166.14    53.51    56.91
knl   2   256   16ntg   164.27   138.06    47.75    42.00
knl   4   121   16ntg   169.04   138.89    52.49    41.25
knl   8    64   16ntg   178.85   147.28    66.09    39.04
knl   16   25   16ntg   246.35   191.19    88.61    61.02
knl   32   16   16ntg   322.23   244.82   124.58    75.02
# ntg-32
knl   1   484   32ntg   199.72   177.18    58.68    56.31
knl   2   256   32ntg   172.59   149.98    50.91    43.49
knl   4   121   32ntg   178.29   149.40    58.86    40.70
knl   8    64   32ntg   199.22   164.36    69.63    37.86
knl   16   25   32ntg   246.97   191.80    85.49    56.07
