# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
bdw   1   256   1ntg   157.15   134.00    57.19    24.46
bdw   2   144   1ntg   149.38   125.88    58.09    17.02
bdw   3   81   1ntg   153.93   130.95    60.06    20.50
bdw   6   36   1ntg   174.45   139.76    71.94    17.58
bdw   9   25   1ntg   193.25   153.42    83.25    18.66
# ntg-2
bdw   1   256   2ntg   148.94   126.50    50.22    23.11
bdw   2   144   2ntg   142.21   122.30    51.26    17.47
bdw   3   81   2ntg   146.53   124.60    53.01    17.54
bdw   6   36   2ntg   161.26   130.30    60.74    17.63
bdw   9   25   2ntg   173.69   138.03    66.94    19.04
# ntg-3
bdw   1   256   3ntg   148.33   127.21    49.56    24.36
bdw   2   144   3ntg   143.75   121.22    50.63    16.98
bdw   3   81   3ntg   142.61   122.74    50.80    17.41
bdw   6   36   3ntg   154.29   126.42    56.72    17.55
# ntg-4
bdw   1   256   4ntg   145.34   125.80    47.85    23.95
bdw   2   144   4ntg   139.20   120.48    49.00    18.01
bdw   3   81   4ntg   144.49   122.43    49.60    17.88
bdw   6   36   4ntg   158.07   127.57    58.18    17.35
bdw   9   25   4ntg   175.06   140.88    68.49    18.76
# ntg-6
bdw   1   256   6ntg   150.79   129.03    52.05    23.96
bdw   2   144   6ntg   142.51   122.23    50.34    17.74
bdw   3   81   6ntg   144.82   122.66    50.18    17.81
bdw   6   36   6ntg   158.42   130.12    60.21    17.59
# ntg-8
bdw   1   256   8ntg   154.19   126.87    52.25    23.31
bdw   2   144   8ntg   148.81   123.48    52.14    18.37
bdw   3   81   8ntg   155.04   127.51    53.80    18.33
bdw   6   36   8ntg   164.64   136.19    65.88    18.22
bdw   9   25   8ntg   180.28   144.72    72.97    18.54
