# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   1024   1ntg   291.04   236.77   139.63    55.07
knl   2   484   1ntg   200.18   166.02    90.34    42.79
knl   4   256   1ntg   182.38   144.86    79.10    36.85
knl   8   121   1ntg   202.81   164.05    99.55    39.41
knl   16   64   1ntg   227.58   177.48   109.06    44.49
knl   32   25   1ntg   324.39   242.63   157.26    68.56
# ntg-2
knl   1   1024   2ntg   202.96   174.05    71.86    53.27
knl   2   484   2ntg   150.14   129.30    50.64    40.43
knl   4   256   2ntg   144.57   123.67    56.23    35.22
knl   8   121   2ntg   148.64   126.55    58.43    38.34
knl   16   64   2ntg   179.17   145.98    73.56    44.79
knl   32   25   2ntg   259.08   207.39   113.44    71.58
# ntg-4
knl   1   1024   4ntg   169.83   149.29    47.22    51.39
knl   2   484   4ntg   138.93   122.70    40.95    42.37
knl   4   256   4ntg   122.70   106.64    39.84    34.47
knl   8   121   4ntg   135.66   112.80    46.72    35.40
knl   16   64   4ntg   170.66   136.34    62.52    44.97
knl   32   25   4ntg   249.65   199.34   105.25    72.26
# ntg-8
knl   1   1024   8ntg   164.67   144.69    40.05    50.98
knl   2   484   8ntg   130.62   114.47    32.90    40.68
knl   4   256   8ntg   117.68   102.71    33.34    34.82
knl   8   121   8ntg   132.31   110.38    41.51    38.13
knl   16   64   8ntg   166.10   132.86    59.45    43.19
knl   32   25   8ntg   247.65   192.63   100.95    68.90
# ntg-16
knl   1   1024   16ntg   157.71   142.31    37.38    52.79
knl   2   484   16ntg   128.31   114.34    31.73    42.08
knl   4   256   16ntg   118.80   102.58    32.02    34.49
knl   8   121   16ntg   129.14   109.45    39.50    38.06
knl   16   64   16ntg   157.56   129.24    53.95    45.27
knl   32   25   16ntg   228.77   181.48    87.14    71.69
# ntg-32
knl   1   1024   32ntg   164.21   148.18    38.46    53.15
knl   2   484   32ntg   132.15   118.80    32.15    42.08
knl   4   256   32ntg   121.45   105.86    34.70    34.92
knl   8   121   32ntg   134.20   115.29    41.11    38.88
knl   16   64   32ntg   169.65   135.83    54.41    43.84
knl   32   25   32ntg   221.48   169.23    79.15    63.44
