# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   256   1ntg   293.51   258.56   120.90    62.12
knl   2   121   1ntg   285.72   249.81   124.04    53.40
knl   4   64   1ntg   265.00   229.27   104.11    46.47
knl   8   25   1ntg   270.30   235.32    99.46    59.37
knl   16   16   1ntg   295.62   255.08   111.14    63.44
knl   32   4   1ntg   329.44   280.93   127.75    88.80
# ntg-2
knl   1   256   2ntg   273.78   243.44   103.61    61.21
knl   2   121   2ntg   253.89   224.24   100.05    53.36
knl   4   64   2ntg   238.05   209.49    91.73    48.16
knl   8   25   2ntg   266.13   232.42    95.70    60.72
knl   16   16   2ntg   282.62   241.17   107.73    65.63
knl   32   4   2ntg   338.15   292.20   124.91    95.04
# ntg-4
knl   1   256   4ntg   262.37   232.42    92.58    61.15
knl   2   121   4ntg   249.04   214.73    91.99    50.10
knl   4   64   4ntg   236.11   204.52    82.80    48.28
knl   8   25   4ntg   249.82   214.77    83.76    57.91
knl   16   16   4ntg   266.91   230.23    93.99    65.21
knl   32   4   4ntg   310.45   262.74   103.67    92.96
# ntg-8
knl   1   256   8ntg   257.08   229.49    87.48    61.00
knl   2   121   8ntg   240.63   211.44    82.13    53.31
knl   4   64   8ntg   225.84   195.73    77.46    45.51
knl   8   25   8ntg   245.00   213.63    80.08    58.03
knl   16   16   8ntg   256.42   221.67    85.57    65.13
knl   32   4   8ntg   284.08   245.53    82.77    94.41
# ntg-16
knl   1   256   16ntg   255.76   222.66    85.21    58.00
knl   2   121   16ntg   231.34   206.21    77.40    53.33
knl   4   64   16ntg   225.89   198.06    77.30    48.65
knl   8   25   16ntg   242.58   209.93    76.86    60.68
knl   16   16   16ntg   256.97   213.70    73.99    65.17
# ntg-32
knl   1   256   32ntg   273.38   243.10    88.81    60.86
knl   2   121   32ntg   251.80   225.27    87.54    53.41
knl   4   64   32ntg   249.36   218.22    84.45    47.95
knl   8   25   32ntg   252.66   219.23    77.89    57.31
