# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   484   1ntg   256.16   222.50   116.54    57.83
knl   2   256   1ntg   208.41   180.31    90.60    44.33
knl   4   121   1ntg   199.81   169.50    85.05    41.48
knl   8    64   1ntg   184.51   156.72    70.70    40.25
knl   16   25   1ntg   209.12   178.74    72.17    63.16
knl   32   16   1ntg   246.41   207.36    84.06    73.14
# ntg-2
knl   1   484   2ntg   205.45   179.33    72.95    54.03
knl   2   256   2ntg   180.50   159.71    68.43    43.52
knl   4   121   2ntg   164.42   146.87    60.31    41.89
knl   8    64   2ntg   159.60   141.84    58.52    41.07
knl   16   25   2ntg   197.31   174.01    65.72    63.07
knl   32   16   2ntg   230.18   192.90    78.45    73.51
# ntg-4
knl   1   484   4ntg   193.23   171.25    61.57    56.37
knl   2   256   4ntg   163.19   146.02    55.12    43.20
knl   4   121   4ntg   155.30   135.39    51.21    39.30
knl   8    64   4ntg   156.52   138.36    51.74    41.34
knl   16   25   4ntg   187.26   161.43    57.59    60.18
knl   32   16   4ntg   221.86   187.11    68.30    74.87
# ntg-8
knl   1   484   8ntg   186.82   164.93    55.57    54.67
knl   2   256   8ntg   159.47   142.18    49.35    43.52
knl   4   121   8ntg   151.13   133.04    46.67    41.49
knl   8    64   8ntg   152.09   133.08    50.32    38.59
knl   16   25   8ntg   179.60   158.68    51.34    62.22
knl   32   16   8ntg   204.58   178.36    56.67    76.21
# ntg-16
knl   1   484   16ntg   182.11   162.80    52.53    56.04
knl   2   256   16ntg   157.45   138.74    45.65    42.87
knl   4   121   16ntg   145.64   130.00    44.14    41.15
knl   8    64   16ntg   151.62   135.58    51.88    40.65
knl   16   25   16ntg   176.60   156.22    48.39    63.84
knl   32   16   16ntg   192.83   166.15    45.19    74.98
# ntg-32
knl   1   484   32ntg   196.30   176.99    57.13    56.19
knl   2   256   32ntg   163.89   145.40    46.82    43.79
knl   4   121   32ntg   158.05   142.00    49.61    41.43
knl   8    64   32ntg   166.14   148.92    53.47    40.14
knl   16   25   32ntg   176.18   154.57    46.31    57.93
