# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   2   1024   1ntg   249.99   189.71   117.87    43.68
knl   4   484   1ntg   184.90   138.00    77.65    39.47
knl   8   256   1ntg   159.52   117.07    59.48    37.38
knl   16   121   1ntg   171.11   133.26    67.45    46.17
knl   32   64   1ntg   175.80   134.32    63.00    56.12
# ntg-2
knl   2   1024   2ntg   152.82   132.37    56.51    41.18
knl   4   484   2ntg   120.08   103.00    40.47    36.05
knl   8   256   2ntg   116.73   101.06    42.24    35.41
knl   16   121   2ntg   122.41   107.89    39.91    45.05
knl   32   64   2ntg   132.50   118.68    44.48    56.66
# ntg-4
knl   2   1024   4ntg   122.45   109.79    32.47    39.75
knl   4   484   4ntg   108.33    95.64    30.19    37.85
knl   8   256   4ntg    95.04    84.90    25.07    34.35
knl   16   121   4ntg   108.81    93.75    26.94    41.97
knl   32   64   4ntg   123.97   110.22    34.00    56.83
# ntg-8
knl   1   2025   8ntg   213.78   166.55    36.45    57.15
knl   2   1024   8ntg   117.61   103.06    25.42    39.45
knl   4   484   8ntg    97.19    85.21    21.10    35.83
knl   8   256   8ntg    90.74    81.43    19.32    35.01
knl   16   121   8ntg   104.96    92.28    22.65    44.38
knl   32   64   8ntg   115.35   100.91    30.48    51.25
# ntg-16
knl   2   1024   16ntg   108.14    98.84    20.29    40.55
knl   4   484   16ntg    93.37    84.28    18.43    36.66
knl   8   256   16ntg    90.34    78.54    18.15    33.60
knl   16   121   16ntg   101.91    91.26    21.28    43.69
knl   32   64   16ntg   114.09   103.44    29.32    55.25
# ntg-32
knl   2   1024   32ntg   111.13   101.84    21.09    40.47
knl   4   484   32ntg    96.57    87.08    18.65    37.28
knl   8   256   32ntg    91.09    80.52    18.18    34.32
knl   16   121   32ntg   104.51    94.23    20.56    44.96
knl   32   64   32ntg   119.96   106.35    29.84    54.41
