# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   1024   1ntg   280.27   233.91   136.81    55.56
knl   2   484   1ntg   203.00   171.41    94.50    43.23
knl   4   256   1ntg   164.15   135.52    68.60    37.73
knl   8   121   1ntg   164.03   134.78    69.15    38.66
knl   16   64   1ntg   161.11   132.07    60.18    44.84
knl   32   25   1ntg   182.47   154.77    64.81    66.88
# ntg-2
knl   1   1024   2ntg   201.95   174.50    72.83    53.28
knl   2   484   2ntg   151.23   132.55    52.80    41.16
knl   4   256   2ntg   132.79   116.98    50.33    34.93
knl   8   121   2ntg   125.81   110.43    43.27    37.72
knl   16   64   2ntg   135.83   119.66    45.68    45.75
knl   32   25   2ntg   168.75   145.55    54.74    66.80
# ntg-4
knl   1   1024   4ntg   168.90   149.68    47.24    51.52
knl   2   484   4ntg   138.06   123.31    41.16    42.64
knl   4   256   4ntg   116.23   102.99    34.31    35.23
knl   8   121   4ntg   115.60   100.02    33.03    35.66
knl   16   64   4ntg   130.76   113.07    37.06    45.99
knl   32   25   4ntg   159.23   136.20    46.66    65.03
# ntg-8
knl   1   1024   8ntg   162.13   144.17    39.88    51.00
knl   2   484   8ntg   129.18   114.06    32.01    41.56
knl   4   256   8ntg   111.34   100.98    29.84    34.76
knl   8   121   8ntg   111.93    97.59    29.01    37.61
knl   16   64   8ntg   126.31   106.74    33.89    42.98
knl   32   25   8ntg   151.08   129.86    39.33    66.05
# ntg-16
knl   1   1024   16ntg   156.98   141.37    36.92    52.83
knl   2   484   16ntg   123.90   112.98    30.41    42.44
knl   4   256   16ntg   108.99    92.95    26.45    33.02
knl   8   121   16ntg   107.96    97.40    28.16    37.65
knl   16   64   16ntg   120.92   106.99    30.43    45.18
knl   32   25   16ntg   148.67   124.46    34.83    66.23
# ntg-32
knl   1   1024   32ntg   162.68   148.11    38.15    53.31
knl   2   484   32ntg   129.81   116.90    30.25    41.97
knl   4   256   32ntg   112.79   101.29    28.83    35.62
knl   8   121   32ntg   115.96   104.30    29.14    39.87
knl   16   64   32ntg   130.84   112.82    31.83    44.35
knl   32   25   32ntg   142.96   120.05    31.35    61.48
