# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
bdw   1   576   1ntg   132.79   102.75    51.38    22.81
bdw   2   256   1ntg    99.89    81.96    37.92    16.63
bdw   3   169   1ntg    95.45    82.51    39.97    13.99
bdw   6   81   1ntg    85.68    74.60    32.90    13.90
bdw   9   64   1ntg    89.35    71.16    31.89    12.26
# ntg-2
bdw   1   576   2ntg    99.27    87.10    34.23    23.06
bdw   2   256   2ntg    88.62    79.21    31.97    16.16
bdw   3   169   2ntg    88.90    78.06    30.35    14.65
bdw   6   81   2ntg    83.16    71.84    28.74    13.75
bdw   9   64   2ntg    80.57    71.16    29.38    13.13
# ntg-3
bdw   1   576   3ntg    99.02    87.59    33.13    23.55
bdw   2   256   3ntg    86.53    76.22    30.46    16.83
bdw   3   169   3ntg    82.77    73.17    27.46    14.05
bdw   6   81   3ntg    82.38    70.78    27.83    13.89
# ntg-4
bdw   1   576   4ntg    92.50    83.21    29.69    22.64
bdw   2   256   4ntg    86.00    76.05    28.37    16.54
bdw   3   169   4ntg    81.84    73.28    27.31    14.20
bdw   6   81   4ntg    81.47    70.13    26.92    14.04
bdw   9   64   4ntg    78.80    69.09    27.46    12.71
# ntg-6
bdw   1   576   6ntg    94.74    82.18    28.84    22.57
bdw   2   256   6ntg    85.17    75.46    28.21    16.35
bdw   3   169   6ntg    81.17    72.53    26.41    14.91
bdw   6   81   6ntg    78.96    69.36    25.81    14.20
# ntg-8
bdw   1   576   8ntg    99.01    82.81    27.76    23.75
bdw   2   256   8ntg    89.88    72.41    26.59    16.03
bdw   3   169   8ntg    86.49    72.94    26.07    15.87
bdw   6   81   8ntg    80.30    69.75    26.84    14.11
bdw   9   64   8ntg    80.01    65.82    25.67    11.92
