# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   121   1ntg   497.42   407.12   198.62    71.88
knl   2   64   1ntg   470.92   390.78   196.99    62.07
knl   4   25   1ntg   524.99   427.61   225.82    70.83
knl   8   16   1ntg   653.99   513.75   306.02    65.18
# ntg-2
knl   1   121   2ntg   452.51   371.01   167.60    71.03
knl   2   64   2ntg   440.34   372.72   174.26    64.23
knl   4   25   2ntg   485.98   398.25   191.17    72.73
knl   8   16   2ntg   563.86   444.07   252.81    66.86
# ntg-4
knl   1   121   4ntg   441.69   358.27   155.09    66.39
knl   2   64   4ntg   435.85   366.05   162.04    64.64
knl   4   25   4ntg   491.31   396.80   185.25    69.42
knl   8   16   4ntg   548.87   415.36   229.50    66.14
# ntg-8
knl   1   121   8ntg   437.30   360.78   151.91    70.70
knl   2   64   8ntg   486.76   378.01   160.45    61.72
knl   4   25   8ntg   502.19   400.26   180.29    69.89
knl   8   16   8ntg   540.11   407.05   217.15    67.09
# ntg-16
knl   1   121   16ntg   424.70   351.41   145.34    70.79
knl   2   64   16ntg   420.31   353.39   153.82    64.36
knl   4   25   16ntg   479.26   378.15   170.45    72.95
knl   8   16   16ntg   529.38   396.49   204.08    66.69
# ntg-32
knl   1   121   32ntg   473.11   395.06   162.86    71.06
knl   2   64   32ntg   494.77   415.94   177.15    64.48
knl   4   25   32ntg   489.85   401.13   179.22    69.66
