# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   2   1024   1ntg   249.66   184.26   114.00    42.32
knl   4   484   1ntg   191.09   144.33    85.46    38.57
knl   8   256   1ntg   193.74   132.35    75.62    36.74
knl   16   121   1ntg   212.93   161.64    98.54    45.56
knl   32   64   1ntg   251.03   177.32   114.98    53.30
# ntg-2
knl   2   1024   2ntg   151.32   130.65    53.38    41.89
knl   4   484   2ntg   125.45   106.80    43.78    36.57
knl   8   256   2ntg   130.61   111.69    52.36    35.59
knl   16   121   2ntg   146.81   124.47    56.65    44.46
knl   32   64   2ntg   176.28   144.11    75.56    52.11
# ntg-4
knl   2   1024   4ntg   122.91   107.58    31.29    39.66
knl   4   484   4ntg   113.53    96.78    33.37    36.84
knl   8   256   4ntg   108.88    92.94    33.36    34.72
knl   16   121   4ntg   129.74   106.72    41.63    41.19
knl   32   64   4ntg   164.04   131.92    61.44    52.86
# ntg-8
knl   2   1024   8ntg   117.87   103.65    25.75    39.34
knl   4   484   8ntg   100.17    87.03    23.95    35.39
knl   8   256   8ntg    98.87    86.87    26.25    34.41
knl   16   121   8ntg   126.96   105.62    36.84    43.96
knl   32   64   8ntg   159.23   124.99    56.19    50.38
# ntg-16
knl   2   1024   16ntg   109.82   100.12    21.31    40.53
knl   4   484   16ntg    98.64    86.87    21.33    37.21
knl   8   256   16ntg    98.65    83.55    24.45    33.29
knl   16   121   16ntg   122.78   104.56    34.76    44.72
knl   32   64   16ntg   149.53   121.72    50.28    52.31
# ntg-32
knl   2   1024   32ntg   114.94   104.17    22.15    41.07
knl   4   484   32ntg   102.91    89.32    21.57    37.13
knl   8   256   32ntg   103.66    88.50    24.63    35.21
knl   16   121   32ntg   124.90   106.51    33.86    44.37
knl   32   64   32ntg   158.75   124.07    50.28    51.59
